case	wbits	abits	metric	value
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_softmax_fn.p05	0.01687481813132763
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_softmax_fn.p50	0.03877731412649155
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_softmax_fn.p95	0.05232236534357071
phase1i_w4a6_ckpt2_as_w4a4	4	4	quantizer.quan_a_softmax_fn.max	0.05824939161539078
phase1j_a4_recon_ckpt1	4	4	features.5.5.mse	18.700716018676758
phase1j_a4_recon_ckpt1	4	4	features.5.5.mae	1.5317193269729614
phase1j_a4_recon_ckpt1	4	4	features.5.5.rel_l2	0.7685623168945312
phase1j_a4_recon_ckpt1	4	4	features.5.5.student_std	2.2542450428009033
phase1j_a4_recon_ckpt1	4	4	features.5.5.teacher_std	5.626265525817871
phase1j_a4_recon_ckpt1	4	4	features.7.1.mse	8.039846420288086
phase1j_a4_recon_ckpt1	4	4	features.7.1.mae	1.1563382148742676
phase1j_a4_recon_ckpt1	4	4	features.7.1.rel_l2	0.6400481462478638
phase1j_a4_recon_ckpt1	4	4	features.7.1.student_std	2.064471483230591
phase1j_a4_recon_ckpt1	4	4	features.7.1.teacher_std	4.430030822753906
phase1j_a4_recon_ckpt1	4	4	logits.kl_student_teacher	2.1122565269470215
phase1j_a4_recon_ckpt1	4	4	logits.teacher_conf_mean	0.7255218029022217
phase1j_a4_recon_ckpt1	4	4	logits.student_top1_agree	0.5625
phase1j_a4_recon_ckpt1	4	4	quantizer.input_quant_fn.numel	1761
phase1j_a4_recon_ckpt1	4	4	quantizer.input_quant_fn.mean	0.07697238773107529
phase1j_a4_recon_ckpt1	4	4	quantizer.input_quant_fn.std	0.04366452991962433
phase1j_a4_recon_ckpt1	4	4	quantizer.input_quant_fn.min	0.016830982640385628
phase1j_a4_recon_ckpt1	4	4	quantizer.input_quant_fn.p05	0.0336088128387928
phase1j_a4_recon_ckpt1	4	4	quantizer.input_quant_fn.p50	0.06487847119569778
phase1j_a4_recon_ckpt1	4	4	quantizer.input_quant_fn.p95	0.17734333872795105
