name	kind	stage	module	numel	attn_rel	full_rel	extra_rel	extra_over_full	full_minus_attn_rel	cos_attn_full	extra_l2	attn_l2	full_l2	base_l2	max_abs_extra
features.5.5.attn.quant_x_4_qkv.input_quant_fn.s	act_quant	features.5.5	features.5.5.attn.quant_x_4_qkv.input_quant_fn	49	0.0006916063363327821	0.0006781767697106678	0.0002320043193503274	0.34210006846637936	-1.3429566622114422e-05	0.9428121995250249	0.0004858211614191532	0.0014482359401881695	0.0014201141893863678	2.094017744064331	0.00022405385971069336
features.7.1.norm1.bias	norm	features.7.1	features.7.1.norm1	768	0.0	0.00022038232942555805	0.00022038232942555805	1.0	0.00022038232942555805	0.0	0.0014944423455744982	0.0	0.0014944423455744982	6.781135082244873	0.0001800544559955597
features.7.1.mlp.fc2.input_quant_fn.s	act_quant	features.7.1	features.7.1.mlp.fc2.input_quant_fn	7	0.0	0.00020952810394231063	0.00020952810394231063	1.0	0.00020952810394231063	0.0	0.000404972059186548	0.0	0.000404972059186548	1.9327815771102905	0.00023728609085083008
features.7.1.norm1.weight	norm	features.7.1	features.7.1.norm1	768	0.0	0.00017741438554504904	0.00017741438554504904	1.0	0.00017741438554504904	0.0	0.0028434586711227894	0.0	0.0028434586711227894	16.0272159576416	0.0003647804260253906
features.7.1.mlp.fc1.input_quant_fn.s	act_quant	features.7.1	features.7.1.mlp.fc1.input_quant_fn	7	0.0	0.0001471406633509698	0.0001471406633509698	1.0	0.0001471406633509698	0.0	0.0003379383124411106	0.0	0.0003379383124411106	2.2967023849487305	0.00024646520614624023
features.7.1.attn.proj.bias	attn_proj	features.7.1	features.7.1.attn.proj	768	0.00014690772711140054	5.1039168893644984e-05	0.00013003764608800737	2.5478010106116495	-9.586855821775555e-05	0.4852654903481749	0.003003387013450265	0.0033930232748389244	0.001178815378807485	23.096288681030273	0.0003574639558792114
features.5.5.norm1.weight	norm	features.5.5	features.5.5.norm1	384	0.0	0.00012119331959579589	0.00012119331959579589	1.0	0.00012119331959579589	0.0	0.0020682932808995247	0.0	0.0020682932808995247	17.06606674194336	0.00033462047576904297
features.5.5.mlp.fc1.bias	mlp	features.5.5	features.5.5.mlp.fc1	1536	0.0	0.00011248414511115167	0.00011248414511115167	1.0	0.00011248414511115167	0.0	0.0031398062128573656	0.0	0.0031398062128573656	27.91332244873047	0.00028955936431884766
features.7.1.norm2.bias	norm	features.7.1	features.7.1.norm2	768	0.0	0.00010290103106613868	0.00010290103106613868	1.0	0.00010290103106613868	0.0	0.001519840327091515	0.0	0.001519840327091515	14.769923210144043	0.00017593801021575928
features.5.5.norm2.weight	norm	features.5.5	features.5.5.norm2	384	0.0	9.659425976924076e-05	9.659425976924076e-05	1.0	9.659425976924076e-05	0.0	0.0023248924408107996	0.0	0.0023248924408107996	24.068639755249023	0.00040030479431152344
features.7.1.mlp.fc1.bias	mlp	features.7.1	features.7.1.mlp.fc1	3072	0.0	9.64980132919108e-05	9.64980132919108e-05	1.0	9.64980132919108e-05	0.0	0.0035813983995467424	0.0	0.0035813983995467424	37.11370086669922	0.0002948641777038574
features.7.1.mlp.fc2.bias	mlp	features.7.1	features.7.1.mlp.fc2	768	0.0	7.094260282185885e-05	7.094260282185885e-05	1.0	7.094260282185885e-05	0.0	0.0010665854206308722	0.0	0.0010665854206308722	15.034483909606934	0.00013081729412078857
features.7.1.attn.relative_position_bias_table	relpos	features.7.1	features.7.1.attn	4056	0.00010777332802583809	0.00010674914954631404	5.5764403763654316e-05	0.5223873351746043	-1.0241784795240458e-06	0.8648978566743352	0.003988839220255613	0.007709048222750425	0.007635788526386023	71.53020477294922	0.0003021359443664551
features.7.1.norm2.weight	norm	features.7.1	features.7.1.norm2	768	0.0	4.2741184252661905e-05	4.2741184252661905e-05	1.0	4.2741184252661905e-05	0.0	0.0028673617634922266	0.0	0.0028673617634922266	67.08662414550781	0.0003390312194824219
features.5.5.attn.relative_position_bias_table	relpos	features.5.5	features.5.5.attn	2028	0.00010470575998068759	0.00010323111912027971	4.118285781324456e-05	0.3989384031113754	-1.4746408604078798e-06	0.9216453229026733	0.0021693140733987093	0.005515393801033497	0.005437716841697693	52.6751708984375	0.0001571178436279297
